TITLE ID,TITLE KEY,NAME,REGION,TYPE
0005000010134a00,2a0363d206836118b017476396fd8575,ブレス オブ ファイアⅡ 使命の子,JPN,Base
000500001015c900,2fbc121ecf951a1bf3894c72657c3037,BOMBERMAN '94,JPN,Base
0005000010169700,4977d5cc2c23b2de5592199371e26ea5,ミスタードリラー2,JPN,Base
000500001018e600,759169a09bdff0860032c671f3aa294f,ロックマン＆フォルテ,JPN,Base
0005000010129e00,56a81f4e5879939a3fe69e09802d3432,ロックマン3 Dr.ワイリーの最期!?,JPN,Base
000500001012e600,9bcc2acd01ee2a3865cd77261fd3edd2,ロックマン4 新たなる野望!!,JPN,Base
0005000010160b00,0ca5238e8589c7325aafc625d1441a37,"ロックマン6
                  史上最大の戦い!!",JPN,Base
000500001012a500,6e1ec306b14b868bd1d2e832757a2a5f,"ストリートファイターⅡ ターボ
                  ハイパー ファイティング",JPN,Base
0005000010174d00,e10f3175b9bb6515395e12e220e2e437,ロックマン7 宿命の対決！,JPN,Base
0005000010141600,42317cfa28cd418b979dc55a4c3cad1c,ロックマンX2,JPN,Base
0005000010175100,8c633149646350991fd104391e3be714,ロックマンX3,JPN,Base
000500001014b300,03d212505068eba3108e7c937e3107c7,伝説のオウガバトル,JPN,Base
0005000010153e00,dc9f61cdcc348f80c052f5956710130c,ロマンシング サ・ガ2,JPN,Base
0005000010159300,570ce046f5e147763a75fc4d384b258b,ロマンシング サ･ガ3,JPN,Base
00050000101b4400,c2c49d53a154124a50015c1e084af410,Chariot,JPN,Base
0005000010218000,6dd5858866320985ab76071042c7e5a9,Insect Planet TD,USA,Base
0005000010133700,a50744e151fa356f532a077beba5eeff,CastleStorm,USA,Base
0005000010176000,c4351cab5b34c5e5a8b3c76015796383,Castlevania 白夜の協奏曲,JPN,Base
0005000010199100,50bf2cc737c2835e2d4e876d7245ed38,ドンキーコング64,JPN,Base
0005000010114f00,0692012679d758d6dd730fa4da55f8fc,"ストリートファイターⅡ
                  ザ ワールド ウォーリアー",JPN,Base
0005000010213100,aa4b1b7cef38b3e41f59ca2b2cd5c1b1,Toon War,EUR,Base
0005000010138600,dd4039968be904cb5b247bbc316766d8,Falling Skies: The Game,USA,Base
0005000010174100,5ee7301cb2c1a0d825e433c5f4a5527d,Super Mario Ball,EUR,Base
0005000010114700,49d42e09a2f69c36fbbf4f7658dd736b,ロックマン2 Dr.ワイリーの謎,JPN,Base
0005000010174500,fb8add9f53d2a3b00ab4cb633db90bf0,Donkey Kong Jr. Math,EUR,Base
0005000010174300,35f8c527aca858305ae21c6da8ece11f,ドンキーコングJR.の算数遊び,JPN,Base
0005000010174f00,6c75092000a34b94cdb3ac922ca21aff,MEGA MAN 7,EUR,Base
0005000010180200,55cb79887b70087a7c40e89fafbd8698,MEGAMAN ZERO,EUR,Base
000500001015b600,304ed46f6909a9438c2b049829fe4c12,Bonk's Adventure,JPN,Base
000500001015bb00,78744ba90a08c3c68c43d03eb08823ae,Bonk's Revenge,JPN,Base
000500001015bc00,01ff980a3f9b26b9804038c82dfa9f3f,BONK 3 Bonk's Big Adventure,JPN,Base
0005000010170200,9230be1ac874dcabd0d2afbd28be7901,"Pier Solar
                  and the Great Architects",USA,Base
00050000101ca100,8d0679ec3ac20379f5db18de81cf9cb7,Bigley's Revenge,USA,Base
000500001016c400,adc1846e0682f6ba76d59b3c0c21796a,ストリートファイターZERO2,JPN,Base
000500001020e600,c3b92fb5b0177d70e0a207f39d0def77,WALL BALL,EUR,Base
